"Target","X","Y","Z"
"Target_1",-2871.7,5966.5,-1272.5
"Target_2",-914.2,5972.5,-1271.9
"Target_3",1218.1,5973.1,-1286.7
"Target_4",-2867.2,5967.7,517.8
"Target_5",-895.2,5968.9,532.5
"Target_6",1231.6,5968.3,550.9
"Target_7",-2866.3,5967.8,1968.2
"Target_8",-900.6,5967.4,1955
"Target_9",1228.8,5965.9,1946
"Target_10",3039.2,1910.4,-1295.1
"Target_11",3036.8,-1441.4,-1284.6
"Target_12",3035.9,1900.2,197.3
"Target_13",3035,-1444.8,171.8
"Target_14",3031.8,1890.8,1416
"Target_15",3027,367.1,1030.7
"Target_16",3025.4,-1452.2,1434.5
"Target_17",762.9,-7364.1,533.3
"Target_18",-2878.5,-7363.4,-1264.8
"Target_19",-3281.5,-7365.9,499.2
"Target_20",-2873.5,-7368.5,1948
