"Target","X","Y","Z"
"Target_1",9209,512.8,-435.7
"Target_2",9210.8,-1444.6,-435.5
"Target_3",9206.4,-3576.6,-450.4
"Target_4",9210.2,509.4,1354.8
"Target_5",9207,-1463.3,1370
"Target_6",9201.4,-3589.7,1387.6
"Target_7",9209.9,507.7,2805.8
"Target_8",9205,-1457.4,2791.9
"Target_9",9198.8,-3586.8,2783.4
"Target_10",5140.3,-5388.8,-458.8
"Target_11",1788.6,-5378.8,-449.2
"Target_12",5129.7,-5385.2,1033.7
"Target_13",1785.2,-5376.6,1007.6
"Target_14",5120.8,-5380.8,2252.6
"Target_15",3597,-5372.6,1867.7
"Target_16",1777,-5367,2270.2
"Target_17",-4129.5,-3091.4,1367.7
"Target_18",-4120.8,549.6,-429.6
"Target_19",-4122.8,952.7,1333.8
"Target_20",-4126.2,545.1,2782.4
